mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
1149;7;12;2859111;27;1;26.927324;27.665461;15.3;180177;13;0;0;1;90;0;253395;0.0;0.0;40.0;-0.424011;0.510997;0.0;0.0;0;0.0;0;0.0;-56.572754;0;-59.719093;66.61544;2.0;30;62;12.0;0;66;0;0;0;0;836256;2309328;5.134239;25;19.444445;92.199913;4;3;50;19.233001;IPerf;1149;166481522907632.38;1
1149;7;12;2626133;24;1;28.527655;28.600534;15.695652;159022;9;0;14;1;90;0;240250;0.0;0.0;40.0;-0.419011;0.519997;0.0;0.0;0;0.0;0;0.0;-57.040634;0;-59.728905;65.670555;2.0;23;69;12.0;0;63;0;0;0;0;836256;2309328;5.134239;25;13.888889;92.192039;4;3;50;19.233001;IPerf;1149;166481522908643.06;1
1149;7;12;1757866;16;3;28.388496;28.90531;12.272727;90666;9;0;0;1;90;0;258735;0.0;0.0;0.0;-0.460011;0.528996;0.0;0.0;0;0.0;0;0.0;-55.740963;0;-59.721607;65.373077;2.0;22;44;12.0;0;52;0;0;0;0;836256;2309328;5.134239;25;19.66292;92.19397;4;3;50;19.233001;IPerf;1149;166481522909572.9;1
1149;7;12;2405866;22;2;30.329323;27.835938;15.08;165688;10;0;255;1;90;0;270562;0.0;0.0;40.0;-0.476011;0.538996;0.0;0.0;0;0.0;0;0.0;-56.991108;0;-59.726109;66.437943;2.0;25;58;12.0;0;54;0;0;0;0;836256;2309328;5.134239;25;13.888889;92.199478;4;3;50;19.233001;IPerf;1149;166481522910335.9;1
1149;7;12;2092533;19;1;29.445757;27.892376;15.692307;167200;11;0;0;1;90;0;277193;0.0;0.0;40.0;-0.476012;0.549996;0.0;0.0;0;0.0;0;0.0;-56.844124;0;-59.743034;66.364601;2.0;26;43;12.0;0;48;0;0;0;0;836256;2309328;5.134239;25;16.853931;92.206207;4;3;50;19.233001;IPerf;1149;166481522911173.5;1
1149;7;12;2410133;22;4;31.287125;27.690086;14.962963;161155;11;0;0;1;90;0;286282;0.0;0.0;40.0;-0.530012;0.560996;0.0;0.0;0;0.0;0;0.0;-56.329494;0;-59.713802;66.596107;2.0;27;54;12.0;0;62;0;0;0;0;836256;2309328;5.134239;25;19.66292;92.207924;4;3;50;19.233001;IPerf;1149;166481522912028.88;1
1149;7;12;1868000;17;2;29.942041;26.453526;16.157894;103822;8;0;0;1;90;0;285175;0.0;0.0;0.0;-0.551012;0.568996;0.0;0.0;0;0.0;0;0.0;-55.877274;0;-59.737148;67.809326;2.0;19;39;12.0;0;57;0;0;0;0;836256;2309328;5.134239;25;19.66292;92.197289;4;3;50;19.233001;IPerf;1149;166481522912871.88;1
1149;7;11;2626133;24;1;0.0;2010.71814;0.0;0;0;0;0;1;90;0;253234;0.0;0.0;0.0;-0.546012;0.568996;0.0;0.0;0;0.0;0;0.0;0.0;0;-4241.014648;4682.267578;0.0;0;71;11.958904;0;73;0;0;0;0;836256;2309328;5.134239;25;14.044943;92.198639;4;3;50;19.233001;IPerf;1149;166481522913725.84;1
1149;7;12;2758933;26;2;29.432041;29.025244;17.214285;245333;6;0;0;1;90;0;302822;0.0;0.0;40.0;-0.558013;0.574996;0.0;0.0;0;0.0;0;0.0;-59.949005;0;-59.725197;65.249565;2.0;14;65;12.0;0;60;0;0;0;0;836256;2309328;5.134239;25;19.66292;92.21035;4;3;50;19.233001;IPerf;1149;166481522914582.72;1
1149;7;11;2521600;24;1;30.854542;28.161961;16.285715;102044;6;0;151;1;90;0;297087;0.0;0.0;40.0;-0.553013;0.580996;0.0;0.0;0;0.0;0;0.0;-57.19997;0;-59.727245;66.110794;2.0;14;63;11.951612;0;62;0;0;0;0;836256;2309328;5.134239;25;16.666666;92.217598;4;3;50;19.233001;IPerf;1149;166481522915416.25;1
1149;7;12;2084000;19;2;26.084957;29.135714;19.153847;112444;5;0;0;1;90;0;303814;0.0;0.0;0.0;-0.572013;0.585996;0.0;0.0;0;0.0;0;0.0;-58.285892;0;-59.730801;65.133492;2.0;13;51;12.0;0;50;0;0;0;0;836256;2309328;5.134239;25;16.853931;92.217552;4;3;50;19.233001;IPerf;1149;166481522916258.38;1
1149;7;12;2189866;20;1;24.364548;28.732061;15.235294;149066;7;0;0;1;90;0;331909;0.0;0.0;40.0;-0.571014;0.592996;0.0;0.0;0;0.0;0;0.0;-57.296959;0;-59.723309;65.54464;2.0;17;51;12.0;0;52;0;0;0;0;836256;2309328;5.134239;25;16.853931;92.204048;4;3;50;19.233001;IPerf;1149;166481522917247.78;1
1149;7;12;2295733;21;1;26.998354;28.361521;15.259259;120355;12;0;0;1;90;0;330300;0.0;0.0;40.0;-0.569014;0.604995;0.0;0.0;0;0.0;0;0.0;-55.350147;0;-59.755421;65.883064;2.0;27;55;12.0;0;57;0;0;0;0;836256;2309328;5.134239;25;16.666666;92.212662;4;3;50;19.233001;IPerf;1149;166481522918192.84;1
