mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
1761;9;9;33155;3;0;37.444157;32.563465;14.0;98755;5;0;0;1;90;0;0;0.0;0.0;31.0;0.013;0.013;0.0;0.0;0;0.0;0;0.0;-29.743242;0;-34.085358;87.351181;2.0;12;16;9.428572;0;7;0;0;0;0;836216;2309332;5.133993;25;11.235954;94.249001;4;3;50;15.651001;IPerf;1761;166484830242170.47;3
1761;9;16;40355;4;0;37.955818;32.888401;14.818182;253511;12;0;0;1;90;0;0;0.0;0.0;31.0;0.017;0.025;0.0;0.0;0;0.0;0;0.0;-30.280483;0;-34.09008;87.021515;2.0;33;20;16.92;0;25;0;0;0;0;836216;2309332;5.133993;25;13.888889;94.250725;4;3;50;15.651001;IPerf;1761;166484830243840.28;3
1761;8;18;11512533;59;6;39.109951;33.229897;17.258621;620533;23;0;0;1;90;0;109751;0.0;0.0;0.0;-0.038;0.048;0.0;0.0;0;0.0;0;0.0;-31.80913;0;-34.09494;86.675163;2.0;58;117;18.527275;0;165;0;0;0;0;836216;2309332;5.133993;25;16.666666;94.256203;4;3;50;15.651001;IPerf;1761;166484830245249.28;3
1761;7;15;13897333;89;1;38.064663;33.27169;13.481481;579555;21;0;0;1;90;0;91202;0.0;0.0;31.0;0.032;0.069;0.0;0.0;0;0.0;0;0.0;-30.337999;0;-34.095749;86.632576;2.0;54;171;15.238736;0;222;0;0;0;0;836216;2309332;5.133993;25;16.666666;94.256203;4;3;50;15.651001;IPerf;1761;166484830246654.2;3
1761;7;15;13435111;84;6;38.664738;33.740791;16.195652;528800;19;0;0;1;90;0;120584;0.0;0.0;31.0;0.002;0.088;0.0;0.0;0;0.0;0;0.0;-31.25272;0;-34.109474;86.149742;2.0;46;179;15.68;0;225;0;0;0;0;836216;2309332;5.133993;25;16.853931;94.257721;4;3;50;15.651001;IPerf;1761;166484830248068.2;3
1761;8;16;14320533;88;2;38.761768;33.265099;14.951615;583822;25;0;0;1;90;0;124027;0.0;0.0;31.0;0.052;0.113;0.0;0.0;0;0.0;0;0.0;-30.757847;0;-34.099895;86.63501;2.0;62;163;16.98667;0;225;0;0;0;0;836216;2309332;5.133993;25;19.444445;94.257896;4;3;50;15.651001;IPerf;1761;166484830249472.66;3
1761;8;18;16352000;90;0;39.14146;33.803852;15.479167;476977;20;0;0;1;90;0;114952;0.0;0.0;31.0;0.142;0.133;0.0;0.0;0;0.0;0;0.0;-31.106234;0;-34.10059;86.095573;2.0;48;177;18.0;0;228;0;0;0;0;836216;2309332;5.133993;25;16.853931;94.260178;4;3;50;15.651001;IPerf;1761;166484830250895.66;3
1761;7;16;15205333;90;0;39.238781;33.575729;14.125;530844;24;0;0;1;90;0;135320;0.0;0.0;31.0;0.232;0.157;0.0;0.0;0;0.0;0;0.0;-30.538626;0;-34.098473;86.325798;2.0;56;169;16.540541;0;222;0;0;0;0;836216;2309332;5.133993;25;19.444445;94.26033;4;3;50;15.651001;IPerf;1761;166484830252306.1;3
1761;7;17;15479733;88;2;38.911873;33.617485;13.740741;446044;23;0;0;1;90;0;155037;0.0;0.0;31.0;0.281999;0.18;0.0;0.0;0;0.0;0;0.0;-30.120945;0;-34.097542;86.284981;2.0;54;171;17.115555;0;225;0;0;0;0;836216;2309332;5.133993;25;16.853931;94.263229;4;3;50;15.651001;IPerf;1761;166484830253738.44;3
1761;8;18;16522133;89;1;38.372871;33.157501;15.355932;560888;22;0;0;1;90;0;148873;0.0;0.0;31.0;0.351998;0.202;0.0;0.0;0;0.0;0;0.0;-30.484941;0;-34.096901;86.74559;2.0;59;166;18.182222;0;225;0;0;0;0;836216;2309332;5.133993;25;16.666666;94.264526;4;3;50;15.651001;IPerf;1761;166484830255059.56;3
