mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
1146;8;19;5005066;23;2;29.000298;29.109255;15.673077;345777;21;0;0;1;90;0;353341;0.0;0.0;40.0;1.953211;0.356988;0.0;0.0;0;0.0;0;0.0;-56.997864;0;-59.527695;65.363045;2.0;52;43;19.859373;0;64;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.976654;4;3;50;18.800001;IPerf;1146;166483547127411.28;1
1146;8;20;5621010;26;0;27.42264;30.06476;15.085714;234373;15;0;0;1;91;0;352683;0.0;0.0;40.0;1.979212;0.371987;0.0;0.0;0;0.0;0;0.0;-56.847652;0;-59.513962;64.42128;2.057143;35;50;20.0;0;63;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.982155;4;3;50;18.800001;IPerf;1146;166483547128631.3;1
1146;8;20;5301303;24;2;29.824293;28.145067;13.902439;194426;16;0;0;1;89;0;353971;0.0;0.0;40.0;1.965213;0.387987;0.0;0.0;0;0.0;0;0.0;-55.479862;0;-59.517956;66.336975;2.0;41;51;20.0;0;63;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.988487;4;3;50;18.800001;IPerf;1146;166483547129782.25;1
1146;8;19;5446133;25;1;27.618557;28.84993;14.25;120355;14;0;0;1;90;0;344139;0.0;0.0;40.0;1.971214;0.401987;0.0;0.0;0;0.0;0;0.0;-54.795406;0;-59.515701;65.634369;2.0;36;63;19.861538;0;65;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.993156;4;3;50;18.800001;IPerf;1146;166483547130930.1;1
1146;8;19;5005066;23;1;29.064777;28.444948;14.0;242666;17;0;0;1;90;0;349937;0.0;0.0;40.0;1.975215;0.418987;0.0;0.0;0;0.0;0;0.0;-55.960361;0;-59.513;66.042046;2.045455;44;52;19.815382;0;65;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.996056;4;3;50;18.800001;IPerf;1146;166483547132035.72;3
1148;8;18;5038933;27;1;38.240822;32.877068;15.538462;351022;16;0;0;1;90;0;277199;0.0;0.0;31.0;0.851977;1.380007;0.0;0.0;0;0.0;0;0.0;-30.533173;0;-34.119045;87.003876;2.0;39;64;18.434782;0;69;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.996056;4;3;50;18.800001;IPerf;1148;166483547133167.78;3
1146;8;19;5822505;27;0;30.601471;27.865685;14.25;280527;21;0;0;1;91;0;348260;0.0;0.0;40.0;2.002216;0.439986;0.0;0.0;0;0.0;0;0.0;-55.679855;0;-59.518738;66.615578;2.0;52;51;19.984848;0;66;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.847626;4;3;50;18.800001;IPerf;1146;166483547134312.53;3
1148;8;18;4345846;23;1;38.360722;32.695621;14.854167;303912;19;0;0;1;91;0;280395;0.0;0.0;31.0;0.855977;1.399008;0.0;0.0;0;0.0;0;0.0;-29.404577;0;-34.123367;87.181;2.0;48;49;18.516666;0;60;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.847626;4;3;50;18.800001;IPerf;1148;166483547135516.3;3
1146;8;20;5770876;25;0;30.940348;27.730631;15.6875;184000;13;0;0;1;89;0;339477;0.0;0.0;40.0;2.003216;0.452986;0.0;0.0;0;0.0;0;0.0;-56.797626;0;-59.502888;66.766479;2.0;32;48;20.962963;0;54;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.848045;4;3;50;18.800001;IPerf;1146;166483547136648.75;3
1148;7;16;4824000;28;0;38.410362;30.237436;15.382978;389393;19;0;0;1;89;0;267473;0.0;0.0;31.0;0.883977;1.418009;0.0;0.0;0;0.0;0;0.0;-30.324635;0;-34.013336;89.749237;2.0;47;74;16.599998;0;75;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.848045;4;3;50;18.800001;IPerf;1148;166483547137769.38;3
1146;8;21;5676800;24;0;0.0;1568.954468;0.0;0;0;0;0;1;90;0;278404;0.0;0.0;0.0;2.003216;0.452986;0.0;0.0;0;0.0;0;0.0;0.0;0;-3272.999268;3628.046631;0.0;0;55;21.0;0;51;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.853172;4;3;50;18.800001;IPerf;1146;166483547138853.94;3
1148;8;18;4899200;27;0;38.263195;27.296684;14.5;269688;15;0;96;1;90;0;250088;0.0;0.0;31.0;0.910976;1.43301;0.0;0.0;0;0.0;0;0.0;-29.715746;0;-33.904751;92.798561;2.0;38;72;18.0;0;69;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.853172;4;3;50;18.800001;IPerf;1148;166483547140183.84;3
1146;5;20;4022133;17;1;6.084067;29.067692;13.238095;166488;5;4;0;1;90;0;270151;0.0;0.0;40.0;1.985216;0.381986;0.0;0.0;0;0.0;0;0.0;-61.478794;0;-59.527775;65.404541;4.285714;21;38;20.947369;0;38;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.856789;4;3;50;18.800001;IPerf;1146;166483547141292.94;3
