mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
728;7;13;2915466;22;2;39.430874;32.828186;16.708334;229511;10;0;0;1;90;0;341430;0.0;0.0;31.0;0.88304;2.888973;0.0;0.0;0;0.0;0;0.0;-31.141218;0;-34.04287;87.128952;2.0;24;62;13.79661;0;59;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.285362;4;3;50;18.256001;IPerf;728;166482782281927.7;3
728;7;16;3455466;21;2;38.243195;31.338083;15.789474;242577;15;0;0;1;90;0;348011;0.0;0.0;31.0;0.86604;2.903972;0.0;0.0;0;0.0;0;0.0;-29.438566;0;-34.07056;88.591362;2.0;38;57;16.519232;0;52;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.294106;4;3;50;18.256001;IPerf;728;166482782283079.8;3
728;7;14;2754666;19;0;38.531403;32.449757;17.541666;184622;10;0;0;1;90;0;340877;0.0;0.0;31.0;0.88504;2.913971;0.0;0.0;0;0.0;0;0.0;-29.630014;0;-34.149506;87.400742;2.0;24;49;14.320755;0;53;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.296959;4;3;50;18.256001;IPerf;728;166482782284054.25;3
728;7;16;3544266;22;1;38.715912;28.486565;17.0;200266;9;0;0;1;90;0;340262;0.0;0.0;31.0;0.888039;2.922971;0.0;0.0;0;0.0;0;0.0;-31.510374;0;-33.924168;91.589272;2.0;22;69;16.111111;0;54;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.283524;4;3;50;18.256001;IPerf;728;166482782285045.38;3
728;7;15;3598400;24;2;37.406895;30.550932;16.818182;176444;9;0;0;1;90;0;341306;0.0;0.0;31.0;0.874039;2.93197;0.0;0.0;0;0.0;0;0.0;-29.585131;0;-34.045475;89.40361;2.0;22;68;15.409836;0;61;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.286568;4;3;50;18.256001;IPerf;728;166482782286019.4;3
728;6;15;3319733;21;2;37.652256;31.325275;14.90625;147822;13;0;0;1;90;0;336602;0.0;0.0;31.0;0.857039;2.944969;0.0;0.0;0;0.0;0;0.0;-28.110111;0;-34.043385;88.63134;2.0;32;58;15.814815;0;54;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.295219;4;3;50;18.256001;IPerf;728;166482782286985.72;3
728;7;14;3081333;21;0;38.483791;30.29369;16.32353;233600;14;0;0;1;90;0;351286;0.0;0.0;31.0;0.878039;2.958968;0.0;0.0;0;0.0;0;0.0;-29.519632;0;-34.048332;89.657982;2.0;34;60;14.54;0;50;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.302704;4;3;50;18.256001;IPerf;728;166482782287979.1;3
728;7;16;2857066;18;4;38.337109;31.281639;16.133333;217333;12;0;0;1;90;0;343825;0.0;0.0;31.0;0.820038;2.970967;0.0;0.0;0;0.0;0;0.0;-29.431261;0;-34.056267;88.662102;2.0;30;55;16.285715;0;56;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.306313;4;3;50;18.256001;IPerf;728;166482782288980.1;3
728;7;15;2684266;17;1;38.312737;30.315306;15.233334;218133;12;0;0;1;90;0;352282;0.0;0.0;31.0;0.818038;2.982966;0.0;0.0;0;0.0;0;0.0;-30.132658;0;-33.965412;89.719299;2.0;30;51;15.804878;0;41;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.294281;4;3;50;18.256001;IPerf;728;166482782290067.62;3
728;7;14;3132000;21;0;37.43697;29.588591;14.586206;125688;11;0;0;1;90;0;345965;0.0;0.0;31.0;0.839038;2.993965;0.0;0.0;0;0.0;0;0.0;-28.019249;0;-33.96088;90.450523;2.0;29;56;14.596491;0;57;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.29718;4;3;50;18.256001;IPerf;728;166482782291119.22;3
728;7;14;2806133;19;1;37.75486;31.77993;15.878788;164800;13;0;0;1;90;0;350635;0.0;0.0;31.0;0.839038;3.006964;0.0;0.0;0;0.0;0;0.0;-28.596468;0;-34.025799;88.194267;2.0;33;52;14.551021;0;49;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.301575;4;3;50;18.256001;IPerf;728;166482782292181.03;3
728;7;16;2908533;18;2;38.548542;31.038239;15.576923;188088;10;0;0;1;90;0;349677;0.0;0.0;31.0;0.819037;3.016964;0.0;0.0;0;0.0;0;0.0;-29.963936;0;-34.07782;88.883942;2.0;26;61;16.52174;0;46;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.307663;4;3;50;18.256001;IPerf;728;166482782293416.53;3
728;6;14;4667288;33;0;38.054016;31.117302;15.531915;369066;18;0;0;1;90;0;355151;0.0;0.0;31.0;0.852037;3.034962;0.0;0.0;0;0.0;0;0.0;-30.011662;0;-34.071243;88.811455;2.0;47;72;14.038462;0;78;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.308006;4;3;50;18.256001;IPerf;728;166482782294375.28;3
728;6;12;3762133;32;0;38.285667;31.214809;15.0;274488;16;0;0;1;90;0;342003;0.0;0.0;31.0;0.884037;3.050961;0.0;0.0;0;0.0;0;0.0;-28.855898;0;-34.025684;88.759506;2.0;41;78;12.802325;0;86;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.297348;4;3;50;18.256001;IPerf;728;166482782295333.28;1
730;5;11;3085600;29;0;30.364948;28.276247;16.651159;270844;17;0;0;1;90;0;237182;0.0;0.0;40.0;1.502053;0.959989;0.0;0.0;0;0.0;0;0.0;-56.429886;0;-59.498516;66.225235;2.0;43;51;11.891891;0;74;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.297348;4;3;50;18.256001;IPerf;730;166482782296315.0;1
728;7;16;3811733;24;3;38.326305;27.991041;15.789474;242577;15;0;0;1;90;0;345765;0.0;0.0;31.0;0.851036;3.06596;0.0;0.0;0;0.0;0;0.0;-29.402775;0;-33.913517;92.095436;2.0;38;65;16.107693;0;65;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.298729;4;3;50;18.256001;IPerf;728;166482782297343.9;1
730;5;11;3635733;34;0;30.274849;28.82184;14.333333;174311;11;0;0;1;90;0;248545;0.0;0.0;40.0;1.536055;0.970989;0.0;0.0;0;0.0;0;0.0;-56.918148;0;-59.535412;65.642738;2.0;30;78;11.976191;0;84;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.298729;4;3;50;18.256001;IPerf;730;166482782298373.94;1
728;7;14;3653066;25;1;37.568111;29.751108;14.342857;185511;13;0;0;1;90;0;350002;0.0;0.0;31.0;0.857036;3.078959;0.0;0.0;0;0.0;0;0.0;-28.663248;0;-34.0508;90.19809;2.0;35;59;14.393442;0;61;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.304619;4;3;50;18.256001;IPerf;728;166482782299402.56;1
730;5;11;2868355;27;0;30.424488;28.322462;16.47826;142844;9;0;0;1;90;0;244024;0.0;0.0;40.0;1.563056;0.979989;0.0;0.0;0;0.0;0;0.0;-57.021904;0;-59.567444;66.1101;2.0;23;66;11.90411;0;73;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.304619;4;3;50;18.256001;IPerf;730;166482782300450.0;1
728;7;14;3204266;22;1;38.237484;32.461056;13.794118;185688;13;0;0;1;90;0;360811;0.0;0.0;31.0;0.860036;3.091958;0.0;0.0;0;0.0;0;0.0;-29.071405;0;-34.126225;87.412712;2.0;34;57;14.865385;0;52;0;0;0;0;836216;2309332;5.133993;25;13.888889;93.313438;4;3;50;18.256001;IPerf;728;166482782301827.34;1
730;5;11;2630400;24;2;26.697405;28.999594;15.785714;105333;5;0;0;1;90;0;264332;0.0;0.0;40.0;1.549057;0.984989;0.0;0.0;0;0.0;0;0.0;-57.9697;0;-59.523239;65.477165;2.0;14;59;11.944445;0;54;0;0;0;0;836216;2309332;5.133993;25;13.888889;93.313438;4;3;50;18.256001;IPerf;730;166482782302834.8;1
728;6;14;2696266;18;2;38.639755;28.650888;13.965517;136088;11;0;0;1;90;0;360669;0.0;0.0;31.0;0.840035;3.102957;0.0;0.0;0;0.0;0;0.0;-28.755436;0;-33.931839;91.417274;2.0;29;54;14.796295;0;54;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.31884;4;3;50;18.256001;IPerf;728;166482782304056.94;1
730;5;11;2912000;28;2;31.312714;29.543865;15.636364;68800;4;0;0;1;90;0;271892;0.0;0.0;40.0;1.539058;0.988989;0.0;0.0;0;0.0;0;0.0;-57.644165;0;-59.547218;64.90892;2.0;11;70;11.954023;0;87;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.31884;4;3;50;18.256001;IPerf;730;166482782305013.5;1
728;7;14;3374488;26;1;38.225063;31.857414;16.85;176000;8;0;0;1;90;0;364810;0.0;0.0;31.0;0.847035;3.110957;0.0;0.0;0;0.0;0;0.0;-30.531469;0;-34.095478;88.047112;2.0;20;68;14.288136;0;59;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.307175;4;3;50;18.256001;IPerf;728;166482782305983.0;1
730;5;11;2552000;24;1;30.849854;28.433708;14.625;156888;9;0;0;1;90;0;283366;0.0;0.0;40.0;1.544059;0.997989;0.0;0.0;0;0.0;0;0.0;-56.544209;0;-59.559425;66.006859;2.0;24;60;11.896552;0;58;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.307175;4;3;50;18.256001;IPerf;730;166482782307399.4;1
728;7;16;2489066;15;3;38.315697;28.196707;12.78125;172888;13;0;0;1;90;0;362431;0.0;0.0;31.0;0.805035;3.123956;0.0;0.0;0;0.0;0;0.0;-28.879524;0;-33.906746;91.896553;2.0;32;48;16.799999;0;45;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.308891;4;3;50;18.256001;IPerf;728;166482782308737.3;2
730;5;11;2085333;20;1;26.916468;28.486986;13.437502;132000;11;0;0;1;90;0;282835;0.0;0.0;40.0;1.54506;1.008989;0.0;0.0;0;0.0;0;0.0;-55.861462;0;-59.546719;65.966293;2.28125;32;41;11.90196;0;51;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.308891;4;3;50;18.256001;IPerf;730;166482782309888.3;2
732;3;0;661244;43;8;31.857304;28.680943;13.285714;132444;8;0;0;1;90;0;2961;0.0;0.0;31.0;-2.025991;-0.154;0.0;0.0;0;0.0;0;0.0;-35.106857;0;-38.649899;86.669167;2.0;21;114;0.0;0;131;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.308891;4;3;50;18.256001;IPerf;732;166482782311089.56;2
728;7;16;4579733;28;4;38.489571;31.735546;14.483871;185244;12;0;0;1;90;0;365170;0.0;0.0;31.0;0.757035;3.135955;0.0;0.0;0;0.0;0;0.0;-28.857933;0;-34.077293;88.187164;2.0;31;79;16.816902;0;71;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.315353;4;3;50;18.256001;IPerf;728;166482782312348.7;2
730;5;11;3770488;36;3;27.959438;28.393408;15.404762;259288;17;0;0;1;90;0;293233;0.0;0.0;40.0;1.524062;1.02599;0.0;0.0;0;0.0;0;0.0;-56.689388;0;-59.528679;66.077904;2.214286;42;64;11.920792;0;101;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.315353;4;3;50;18.256001;IPerf;730;166482782313568.34;2
732;4;0;302222;20;1;32.795265;30.06818;20.0;47377;1;0;0;1;90;0;417;0.0;0.0;31.0;-2.005992;-0.153;0.0;0.0;0;0.0;0;0.0;-41.360542;0;-38.798969;85.132851;2.0;3;55;0.344828;0;58;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.315353;4;3;50;18.256001;IPerf;732;166482782314832.25;2
728;7;15;2777066;18;1;38.364063;32.975948;16.607143;236711;11;0;0;1;90;0;367269;0.0;0.0;31.0;0.756034;3.146954;0.0;0.0;0;0.0;0;0.0;-30.605566;0;-34.168724;86.855324;2.0;28;48;15.22;0;50;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.320999;4;3;50;18.256001;IPerf;728;166482782316459.56;2
730;5;11;2848711;28;3;25.20805;28.504669;15.2;48711;2;0;0;1;90;0;284157;0.0;0.0;40.0;1.495063;1.02799;0.0;0.0;0;0.0;0;0.0;-58.116737;0;-59.559196;65.936127;2.0;5;73;11.891566;0;83;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.320999;4;3;50;18.256001;IPerf;730;166482782317665.62;2
732;3;0;674488;37;6;31.294682;29.527222;11.5;48888;11;0;0;1;90;0;0;0.0;0.0;31.0;-1.987993;-0.142;0.0;0.0;0;0.0;0;0.0;-33.193203;0;-38.838943;85.633835;2.0;30;86;0.62;0;100;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.320999;4;3;50;17.469001;IPerf;732;166482782318945.16;2
728;7;14;3774844;28;1;37.686562;30.769548;14.230769;176355;10;0;0;1;90;0;368566;0.0;0.0;31.0;0.765034;3.156954;0.0;0.0;0;0.0;0;0.0;-29.091614;0;-34.061657;89.168785;2.0;26;71;14.25;0;68;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.323967;4;3;50;17.469001;IPerf;728;166482782320195.1;2
730;5;11;2805600;27;0;30.170507;27.918045;18.079998;163644;9;0;0;1;90;0;312610;0.0;0.0;40.0;1.522064;1.03599;0.0;0.0;0;0.0;0;0.0;-57.670567;0;-59.541397;66.54055;2.0;25;64;11.784617;0;65;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.323967;4;3;50;17.469001;IPerf;730;166482782321444.62;2
732;5;2;927555;31;7;33.01421;29.218691;13.478261;116533;9;0;0;1;90;0;2465;0.0;0.0;31.0;-2.032992;-0.133;0.0;0.0;0;0.0;0;0.0;-35.712894;0;-38.609409;86.171898;2.0;23;79;2.529412;0;102;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.323967;4;3;50;17.469001;IPerf;732;166482782322650.25;2
728;7;14;2983733;20;2;38.540474;29.778452;14.5;231555;12;0;0;1;90;0;371540;0.0;0.0;31.0;0.747034;3.168953;0.0;0.0;0;0.0;0;0.0;-29.724012;0;-34.006252;90.215294;2.0;30;52;14.510204;0;49;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.314247;4;3;50;17.469001;IPerf;728;166482782323655.28;2
730;5;11;2425511;23;1;30.851929;29.076939;12.818182;160355;12;0;0;1;90;0;319487;0.0;0.0;40.0;1.526065;1.047991;0.0;0.0;0;0.0;0;0.0;-55.797535;0;-59.565117;65.357941;2.0;33;58;11.896552;0;58;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.314247;4;3;50;17.469001;IPerf;730;166482782324631.8;2
732;4;1;808444;39;6;32.284618;28.786699;14.4;105422;6;0;0;1;90;0;4800;0.0;0.0;31.0;-2.069995;-0.127;0.0;0.0;0;0.0;0;0.0;-36.429554;0;-38.643433;86.569862;2.0;15;100;1.272727;0;121;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.314247;4;3;50;17.469001;IPerf;732;166482782325583.34;2
728;7;14;2946133;20;0;38.832745;31.26025;16.666666;201600;8;0;0;1;90;0;379117;0.0;0.0;31.0;0.767034;3.176952;0.0;0.0;0;0.0;0;0.0;-31.454031;0;-34.040314;88.699455;2.0;21;54;14.5625;0;48;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.316879;4;3;50;17.469001;IPerf;728;166482782326581.75;2
730;5;12;2312800;21;2;28.284567;29.211111;13.7;73155;7;0;0;1;90;0;330899;0.0;0.0;40.0;1.509066;1.054991;0.0;0.0;0;0.0;0;0.0;-55.528381;0;-59.531651;65.25724;2.0;20;54;12.0;0;55;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.316879;4;3;50;17.469001;IPerf;730;166482782327982.53;2
732;3;0;685955;41;6;32.075573;28.415937;14.0;157244;9;0;0;1;90;0;5096;0.0;0.0;31.0;-2.047998;-0.118;0.0;0.0;0;0.0;0;0.0;-36.49192;0;-38.606689;86.977371;2.0;23;97;0.032787;0;122;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.316879;4;3;50;17.469001;IPerf;732;166482782328936.0;2
728;7;14;2491733;17;1;38.389797;30.677898;15.0;213688;12;0;0;1;90;0;370450;0.0;0.0;31.0;0.765033;3.188951;0.0;0.0;0;0.0;0;0.0;-29.582346;0;-34.037949;89.284164;2.0;28;55;14.333333;0;48;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.324097;4;3;50;17.469001;IPerf;728;166482782329946.28;2
730;5;11;2079733;19;2;28.478088;28.768991;13.464286;142400;10;0;0;1;90;0;339719;0.0;0.0;40.0;1.490067;1.064992;0.0;0.0;0;0.0;0;0.0;-55.867214;0;-59.523895;65.707115;2.0;28;42;11.947369;0;57;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.324097;4;3;50;17.469001;IPerf;730;166482782330889.34;2
732;3;0;661244;43;7;20.494272;29.975601;14.818182;84000;7;4;0;1;90;0;4392;0.0;0.0;31.0;-2.005002;-0.187;0.0;0.0;0;0.0;0;0.0;-55.692703;0;-38.794098;85.230309;4.181818;33;99;0.0;0;120;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.324097;4;3;50;17.469001;IPerf;732;166482782331843.94;2
728;6;13;2385866;18;0;38.697655;32.82766;16.16;204266;10;0;0;1;90;0;383071;0.0;0.0;31.0;0.783033;3.198951;0.0;0.0;0;0.0;0;0.0;-30.375437;0;-34.124821;87.047523;2.0;25;45;13.473684;0;38;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.329796;4;3;50;17.469001;IPerf;728;166482782332769.8;2
730;5;12;1872266;17;1;30.160357;29.405945;15.5;110488;8;0;254;1;90;0;344037;0.0;0.0;40.0;1.488068;1.072992;0.0;0.0;0;0.0;0;0.0;-56.109554;0;-59.519508;65.074547;2.0;22;42;12.0;0;44;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.329796;4;3;50;17.469001;IPerf;730;166482782333756.9;2
732;4;0;747466;45;8;32.234692;29.611656;14.4;137422;10;0;0;1;90;0;4144;0.0;0.0;31.0;-1.998003;-0.177;0.0;0.0;0;0.0;0;0.0;-35.115055;0;-38.789898;85.598442;2.0;25;99;0.461538;0;143;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.329796;4;3;50;17.469001;IPerf;732;166482782334753.2;2
728;7;14;2896800;20;1;37.806477;29.170788;13.551021;154933;18;0;0;1;90;0;381891;0.0;0.0;31.0;0.784033;3.215949;0.0;0.0;0;0.0;0;0.0;-27.231464;0;-33.94548;90.883728;2.0;49;50;14.62;0;50;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.334236;4;3;50;17.469001;IPerf;728;166482782335730.56;2
730;5;11;2397333;22;1;29.545197;28.216434;16.9;74044;4;0;0;1;90;0;320295;0.0;0.0;40.0;1.491069;1.076992;0.0;0.0;0;0.0;0;0.0;-57.407921;0;-59.515499;66.268059;2.0;10;61;11.880597;0;67;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.334236;4;3;50;17.469001;IPerf;730;166482782336759.62;2
732;4;1;851288;41;5;32.840176;29.042545;13.636364;75555;5;0;0;1;90;0;0;0.0;0.0;31.0;-2.014004;-0.172;0.0;0.0;0;0.0;0;0.0;-35.85392;0;-38.7784;86.179054;2.0;11;99;1.088496;0;113;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.334236;4;3;50;17.469001;IPerf;732;166482782338134.12;2
728;7;14;3615733;24;1;37.981495;29.204168;15.743589;209866;15;0;0;1;90;0;385219;0.0;0.0;31.0;0.789033;3.230948;0.0;0.0;0;0.0;0;0.0;-28.891771;0;-33.968479;90.827347;2.0;39;55;14.764706;0;51;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.321518;4;3;50;17.469001;IPerf;728;166482782339122.28;2
730;5;11;2666133;26;3;28.556612;29.147465;16.210526;169866;7;0;0;1;90;0;368251;0.0;0.0;40.0;1.46007;1.083993;0.0;0.0;0;0.0;0;0.0;-58.153942;0;-59.502769;65.34977;2.0;19;65;11.875;0;72;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.321518;4;3;50;17.469001;IPerf;730;166482782340057.28;2
732;5;2;772711;33;5;31.929537;28.837212;13.142858;100088;6;0;0;1;90;0;577;0.0;0.0;31.0;-2.076007;-0.166;0.0;0.0;0;0.0;0;0.0;-36.021698;0;-38.56522;86.597557;2.0;14;86;2.0;0;105;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.321518;4;3;50;17.469001;IPerf;732;166482782341016.0;2
728;7;14;3128000;21;0;38.312801;29.272703;15.24138;212533;11;0;256;1;90;0;378692;0.0;0.0;31.0;0.810032;3.241947;0.0;0.0;0;0.0;0;0.0;-30.02466;0;-33.928551;90.798744;2.0;29;67;14.574074;0;54;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.325127;4;3;50;17.469001;IPerf;728;166482782341997.44;2
730;5;11;2380266;22;2;32.92778;28.998423;12.0;11377;2;0;0;1;90;0;340358;0.0;0.0;0.0;1.444071;1.085993;0.0;0.0;0;0.0;0;0.0;-54.80257;0;-59.520035;65.481544;2.0;6;54;11.919355;0;62;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.325127;4;3;50;17.469001;IPerf;730;166482782342961.47;2
732;4;0;726755;36;10;32.115826;29.441206;14.962963;208977;11;0;0;1;90;0;4280;0.0;0.0;31.0;-2.116009;-0.155;0.0;0.0;0;0.0;0;0.0;-36.581764;0;-38.782433;85.776367;2.0;27;83;0.738739;0;111;0;0;0;0;836216;2309332;5.133993;25;16.853931;93.325127;4;3;50;17.469001;IPerf;732;166482782343949.53;2
728;7;14;2509066;17;1;37.854172;30.71056;15.885716;260088;14;0;0;1;90;0;383542;0.0;0.0;31.0;0.808032;3.255946;0.0;0.0;0;0.0;0;0.0;-29.900223;0;-34.023899;89.265549;2.0;35;44;14.452381;0;42;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.331757;4;3;50;17.469001;IPerf;728;166482782344885.47;2
730;5;11;2079733;19;1;29.668861;29.025129;13.0;159377;13;0;0;1;90;0;377474;0.0;0.0;40.0;1.444071;1.098993;0.0;0.0;0;0.0;0;0.0;-55.583714;0;-59.504181;65.470688;2.0;36;54;11.945456;0;55;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.331757;4;3;50;17.469001;IPerf;730;166482782345851.94;2
732;4;0;708000;47;5;28.21059;29.152199;13.526316;100088;6;1;0;1;90;0;1064;0.0;0.0;31.0;-2.069013;-0.168;0.0;0.0;0;0.0;0;0.0;-43.261524;0;-38.619801;86.228004;2.947368;19;111;0.0;0;130;0;0;0;0;836216;2309332;5.133993;25;19.444445;93.331757;4;3;50;17.469001;IPerf;732;166482782346848.72;2
728;7;13;2453066;19;0;38.102772;28.346334;14.774194;184711;12;0;0;1;90;0;375032;0.0;0.0;31.0;0.827032;3.267946;0.0;0.0;0;0.0;0;0.0;-29.489923;0;-33.905159;91.748497;2.0;31;56;13.74;0;50;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.337234;4;3;50;17.469001;IPerf;728;166482782348183.38;2
730;5;11;2448266;23;1;29.371227;28.090868;16.139534;261866;16;0;0;1;90;0;385869;0.0;0.0;40.0;1.448072;1.114994;0.0;0.0;0;0.0;0;0.0;-57.257523;0;-59.508072;66.401062;2.0;43;52;11.827586;0;58;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.337234;4;3;50;17.469001;IPerf;730;166482782349109.2;2
732;3;0;559911;37;10;21.120171;28.514467;16.0;101777;7;3;0;1;90;0;3984;0.0;0.0;31.0;-2.032016;-0.218;0.0;0.0;0;0.0;0;0.0;-54.601608;0;-38.570717;86.91481;4.0;27;86;0.0;0;119;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.337234;4;3;50;17.469001;IPerf;732;166482782350035.16;2
728;7;15;2522933;16;1;37.493225;30.589109;14.921053;177333;14;0;0;1;90;0;381733;0.0;0.0;31.0;0.824032;3.281945;0.0;0.0;0;0.0;0;0.0;-28.39246;0;-34.024658;89.38623;2.0;38;43;15.914286;0;35;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.337013;4;3;50;17.469001;IPerf;728;166482782350968.12;2
730;5;11;1639200;15;1;29.561367;28.39221;17.6;196800;8;0;0;1;90;0;382544;0.0;0.0;40.0;1.444073;1.122995;0.0;0.0;0;0.0;0;0.0;-58.177563;0;-59.493458;66.114326;2.0;20;44;11.928572;0;42;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.337013;4;3;50;17.469001;IPerf;730;166482782351893.94;2
732;3;0;757244;49;8;31.635111;30.176027;14.142858;112177;8;0;0;1;90;0;3709;0.0;0.0;31.0;-2.002017;-0.21;0.0;0.0;0;0.0;0;0.0;-35.547363;0;-38.759369;85.064606;2.0;21;105;0.28;0;150;0;0;0;0;836216;2309332;5.133993;25;19.66292;93.337013;4;3;50;17.469001;IPerf;732;166482782352819.75;2
728;7;14;2827200;19;1;38.053204;28.829514;13.34375;191822;12;0;0;1;90;0;374068;0.0;0.0;31.0;0.824031;3.293944;0.0;0.0;0;0.0;0;0.0;-28.723269;0;-33.925323;91.245163;2.0;32;57;14.591837;0;49;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.323875;4;3;50;17.469001;IPerf;728;166482782353770.8;2
730;5;11;2410133;22;1;0.0;1672.601562;0.0;0;0;0;0;1;90;0;354316;0.0;0.0;0.0;1.447074;1.122995;0.0;0.0;0;0.0;0;0.0;0.0;0;-3451.220459;3808.178467;0.0;0;58;11.950822;0;61;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.323875;4;3;50;17.469001;IPerf;730;166482782354720.2;2
732;3;0;716888;37;9;31.314276;28.617718;11.55;85066;8;0;0;1;90;0;4037;0.0;0.0;31.0;-1.984018;-0.202;0.0;0.0;0;0.0;0;0.0;-34.58186;0;-38.775524;86.606758;2.0;20;82;0.53913;0;115;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.323875;4;3;50;17.469001;IPerf;732;166482782355710.38;2
728;7;14;3149066;21;2;37.729019;29.574097;15.696972;178666;13;0;255;1;90;0;382375;0.0;0.0;31.0;0.807031;3.306943;0.0;0.0;0;0.0;0;0.0;-29.266247;0;-34.033348;90.39254;2.0;33;60;14.648149;0;54;0;0;0;0;836216;2309332;5.133993;25;16.666666;93.328247;4;3;50;17.469001;IPerf;728;166482782356698.5;2
