mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
510;5;1;1081955;44;3;32.281971;27.792593;13.793103;200266;11;0;0;1;90;0;29678;0.0;0.0;31.0;-3.036797;1.064989;0.0;0.0;0;0.0;0;0.0;-36.585983;0;-38.48703;87.720375;2.0;29;109;1.963964;0;111;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.697197;4;3;50;19.704001;IPerf;510;166482396471042.66;2
510;5;1;849511;41;5;31.242798;29.153843;11.058824;60533;8;0;0;1;90;0;26255;0.0;0.0;31.0;-3.090801;1.07299;0.0;0.0;0;0.0;0;0.0;-34.127941;0;-38.634533;86.211624;2.0;17;102;1.263158;0;114;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.70388;4;3;50;19.704001;IPerf;510;166482396472023.4;3
511;8;17;4518133;26;2;39.682636;30.45009;17.888889;352977;15;0;0;1;90;0;281773;0.0;0.0;31.0;0.053001;2.046034;0.0;0.0;0;0.0;0;0.0;-31.559488;0;-34.079052;89.470856;2.0;36;60;17.892857;0;56;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.70388;4;3;50;19.704001;IPerf;511;166482396472890.44;3
510;4;0;630488;41;9;32.109417;28.674938;16.15;153955;8;0;0;1;90;0;24207;0.0;0.0;31.0;-3.049803;1.08099;0.0;0.0;0;0.0;0;0.0;-36.677021;0;-38.618378;86.70668;2.0;20;97;0.0;0;145;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.708817;4;3;50;19.704001;IPerf;510;166482396473737.34;3
511;7;15;2289333;14;0;37.859898;28.186331;15.928572;222577;10;0;0;1;90;0;284837;0.0;0.0;31.0;0.067001;2.056033;0.0;0.0;0;0.0;0;0.0;-30.442263;0;-33.971718;91.841957;2.0;28;40;15.63889;0;36;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.708817;4;3;50;19.704001;IPerf;511;166482396474576.53;3
510;4;0;784266;51;7;31.170336;27.690586;13.888889;91022;8;0;0;1;90;0;18609;0.0;0.0;31.0;-2.998807;1.08899;0.0;0.0;0;0.0;0;0.0;-35.754597;0;-38.815979;87.493446;2.0;18;126;0.081633;0;147;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.698692;4;3;50;19.704001;IPerf;510;166482396475409.97;3
511;7;17;2718133;16;1;38.78714;29.346155;15.875;219288;11;0;0;1;90;0;285196;0.0;0.0;31.0;0.064001;2.067033;0.0;0.0;0;0.0;0;0.0;-30.285839;0;-33.983238;90.670601;2.0;32;48;17.589743;0;39;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.698692;4;3;50;19.704001;IPerf;511;166482396476226.75;3
510;4;0;790488;49;4;32.359005;28.243843;15.0;114222;7;0;0;1;90;0;18505;0.0;0.0;31.0;-2.968811;1.095991;0.0;0.0;0;0.0;0;0.0;-36.353703;0;-38.668228;87.087929;2.0;16;123;0.273381;0;139;0;0;0;0;836216;2309332;5.133993;25;19.444445;92.698494;4;3;50;19.704001;IPerf;510;166482396477073.84;3
511;7;16;2718133;16;1;38.117584;28.072485;17.799999;283377;14;0;0;1;90;0;293377;0.0;0.0;31.0;0.061001;2.081032;0.0;0.0;0;0.0;0;0.0;-30.450796;0;-33.89431;92.033203;2.0;35;45;16.710526;0;38;0;0;0;0;836216;2309332;5.133993;25;19.444445;92.698494;4;3;50;19.704001;IPerf;511;166482396477889.8;3
510;4;0;748622;40;6;31.76013;28.16268;14.5;137333;9;0;0;1;90;0;16819;0.0;0.0;31.0;-3.004814;1.104991;0.0;0.0;0;0.0;0;0.0;-36.003666;0;-38.59515;87.242165;2.0;24;92;0.696429;0;112;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.700882;4;3;50;19.704001;IPerf;510;166482396478767.12;3
511;7;16;3175733;19;3;39.633026;31.825733;17.15;210311;8;0;0;1;90;0;284815;0.0;0.0;31.0;0.023001;2.089031;0.0;0.0;0;0.0;0;0.0;-31.646473;0;-34.090366;88.083908;2.0;20;58;16.735849;0;53;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.700882;4;3;50;19.704001;IPerf;511;166482396479624.72;3
510;4;0;778222;47;7;32.29641;29.972288;16.222221;136800;7;0;0;1;90;0;17155;0.0;0.0;31.0;-2.957817;1.111991;0.0;0.0;0;0.0;0;0.0;-36.993885;0;-38.81028;85.21743;2.0;18;109;0.22695;0;141;0;0;0;0;836216;2309332;5.133993;25;13.888889;92.711464;4;3;50;19.704001;IPerf;510;166482396480712.44;3
511;7;16;2561333;15;0;38.501705;32.214329;15.555555;205600;11;0;0;1;90;0;275371;0.0;0.0;31.0;0.038001;2.10003;0.0;0.0;0;0.0;0;0.0;-29.94783;0;-34.124382;87.661285;2.0;27;40;16.924999;0;40;0;0;0;0;836216;2309332;5.133993;25;13.888889;92.711464;4;3;50;19.704001;IPerf;511;166482396481558.7;3
510;5;1;1074044;47;6;32.014259;28.643639;13.142858;100088;6;0;0;1;90;0;14084;0.0;0.0;31.0;-3.005821;1.117992;0.0;0.0;0;0.0;0;0.0;-36.109879;0;-38.64883;86.707535;2.0;14;119;1.770992;0;131;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.714905;4;3;50;19.704001;IPerf;510;166482396482393.6;3
511;7;16;2836533;17;0;38.449703;26.322567;15.225806;256355;12;0;0;1;90;0;262553;0.0;0.0;31.0;0.055001;2.112029;0.0;0.0;0;0.0;0;0.0;-30.001728;0;-33.822079;93.855354;2.0;31;52;16.422222;0;45;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.714905;4;3;50;19.704001;IPerf;511;166482396483240.28;3
510;4;0;590577;36;5;31.61797;28.454403;14.65;132444;8;0;0;1;90;0;17891;0.0;0.0;31.0;-3.007824;1.125992;0.0;0.0;0;0.0;0;0.0;-36.020775;0;-38.805824;86.739784;2.0;20;95;0.071429;0;112;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.70285;4;3;50;19.704001;IPerf;510;166482396484080.38;3
511;7;16;3193066;19;2;37.584305;31.562895;13.133333;204711;18;0;0;1;90;0;257602;0.0;0.0;31.0;0.036001;2.130028;0.0;0.0;0;0.0;0;0.0;-27.419952;0;-34.050724;88.386368;2.0;45;46;16.851063;0;47;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.70285;4;3;50;19.704001;IPerf;511;166482396484942.25;3
510;5;1;896000;46;8;32.637878;28.191055;12.5;101422;7;0;0;1;90;0;20575;0.0;0.0;31.0;-3.037827;1.132992;0.0;0.0;0;0.0;0;0.0;-35.61655;0;-38.508003;87.300941;2.0;16;118;1.007752;0;129;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.703972;4;3;50;19.704001;IPerf;510;166482396485776.44;3
511;7;17;2782133;16;1;37.763035;26.173662;15.181818;216266;13;0;0;1;90;0;247182;0.0;0.0;31.0;0.033001;2.143027;0.0;0.0;0;0.0;0;0.0;-29.308344;0;-33.82098;94.005356;2.0;33;52;17.068182;0;44;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.703972;4;3;50;19.704001;IPerf;511;166482396486619.78;3
510;5;0;833600;50;4;33.138893;29.423174;15.2;97422;4;0;0;1;90;0;18135;0.0;0.0;31.0;-3.025831;1.136993;0.0;0.0;0;0.0;0;0.0;-37.703396;0;-38.814541;85.762276;2.0;10;126;0.365079;0;126;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.711464;4;3;50;19.704001;IPerf;510;166482396487520.06;3
511;7;16;2510133;15;1;38.728748;29.449959;16.16;204266;10;0;0;1;90;0;233693;0.0;0.0;31.0;0.029001;2.153026;0.0;0.0;0;0.0;0;0.0;-30.326727;0;-33.967087;90.582954;2.0;25;45;16.545454;0;44;0;0;0;0;836216;2309332;5.133993;25;16.853931;92.711464;4;3;50;19.704001;IPerf;511;166482396488368.62;3
510;5;0;722933;41;4;32.599747;29.348726;14.0;98755;5;0;0;1;90;0;21902;0.0;0.0;31.0;-3.003834;1.141993;0.0;0.0;0;0.0;0;0.0;-36.655331;0;-38.798965;85.852303;2.0;12;100;0.486957;0;115;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.716034;4;3;50;19.704001;IPerf;510;166482396489656.22;3
511;8;17;3091200;18;3;37.92614;29.813797;13.826087;106755;10;0;256;1;90;0;223129;0.0;0.0;31.0;-0.009999;2.163026;0.0;0.0;0;0.0;0;0.0;-28.593946;0;-34.000725;90.185478;2.0;23;58;17.392157;0;51;0;0;0;0;836216;2309332;5.133993;25;16.666666;92.716034;4;3;50;19.704001;IPerf;511;166482396490565.34;3
510;5;0;778400;41;7;32.525265;30.233597;14.375;107200;6;0;0;1;90;0;18591;0.0;0.0;31.0;-3.057837;1.147993;0.0;0.0;0;0.0;0;0.0;-36.72366;0;-38.822037;84.944366;2.0;16;98;0.854962;0;131;0;0;0;0;836216;2309332;5.133993;25;19.66292;92.717361;4;3;50;19.704001;IPerf;510;166482396491438.6;3
