mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
589;9;2;1600;1;0;40.578304;31.396317;20.0;47377;1;0;0;1;90;0;0;0.0;0.0;31.0;0.006816;5.0;0.0;0.0;0;0.0;0;0.0;-35.123474;0;-34.4193;88.184372;2.0;3;10;2.0;0;3;0;0;0;0;836256;2309328;5.134239;25;14.044943;91.018394;4;3;50;15.288001;IPerf;589;166480860399154.2;2
602;5;2;977230;28;3;33.017826;30.043386;17.545454;147516;4;0;0;1;91;0;5472;0.0;0.0;31.0;-2.291001;-0.198;0.0;0.0;0;0.0;0;0.0;-40.251034;0;-39.015297;84.941307;2.0;11;80;2.95;0;60;0;0;0;0;836256;2309328;5.134239;25;11.111111;90.992683;4;3;50;15.273001;IPerf;602;166480863205740.72;2
602;5;4;1266222;29;2;31.448965;29.761293;14.0;98755;5;0;0;1;90;0;3568;0.0;0.0;31.0;-2.300003;-0.193;0.0;0.0;0;0.0;0;0.0;-37.079144;0;-38.980343;85.258369;2.0;12;77;4.073684;0;95;0;0;0;0;836256;2309328;5.134239;25;14.044943;90.99305;4;3;50;15.273001;IPerf;602;166480863206679.28;2
602;4;1;1210577;55;3;32.799713;29.975485;15.2;97422;4;0;0;1;90;0;2825;0.0;0.0;31.0;-2.283007;-0.189;0.0;0.0;0;0.0;0;0.0;-37.948589;0;-38.949451;85.075058;2.0;10;136;1.29054;0;148;0;0;0;0;836256;2309328;5.134239;25;14.044943;90.993591;4;3;50;15.273001;IPerf;602;166480863207469.2;2
602;4;0;1210426;78;4;31.920013;30.077221;15.2;98516;4;0;0;1;89;0;1953;0.0;0.0;31.0;-2.205013;-0.185;0.0;0.0;0;0.0;0;0.0;-37.954018;0;-38.944271;84.978508;2.0;10;188;0.0;0;206;0;0;0;0;836256;2309328;5.134239;25;13.888889;90.99379;4;3;50;15.273001;IPerf;602;166480863208263.9;2
602;4;0;1339868;73;7;31.902979;30.055161;12.434783;108659;8;0;0;1;91;0;4240;0.0;0.0;31.0;-2.246018;-0.177;0.0;0.0;0;0.0;0;0.0;-35.490692;0;-38.927658;85.017174;2.0;23;170;0.935484;0;186;0;0;0;0;836256;2309328;5.134239;25;13.888889;90.994522;4;3;50;15.273001;IPerf;602;166480863209120.06;2
602;5;2;808266;33;5;30.684378;30.353325;11.789474;63555;7;0;0;1;90;0;0;0.0;0.0;31.0;-2.308021;-0.17;0.0;0.0;0;0.0;0;0.0;-34.650581;0;-38.895653;84.75103;2.0;19;72;2.196079;0;102;0;0;0;0;836256;2309328;5.134239;25;14.044943;90.995094;4;3;50;15.273001;IPerf;602;166480863209910.3;2
602;5;4;360533;8;6;20.25186;30.312237;14.514286;68622;8;4;0;1;90;0;1793;0.0;0.0;31.0;-2.414022;-0.238;0.0;0.0;0;0.0;0;0.0;-54.39962;0;-38.888611;84.799156;4.057143;35;30;4.625;0;40;0;0;0;0;836256;2309328;5.134239;25;11.111111;90.995483;4;3;50;15.273001;IPerf;602;166480863210700.4;2
602;5;3;785438;23;3;31.305586;29.700529;13.4375;104808;6;0;0;1;89;0;0;0.0;0.0;31.0;-2.448024;-0.232;0.0;0.0;0;0.0;0;0.0;-36.319092;0;-38.908932;85.390549;2.0;16;62;3.1875;0;64;0;0;0;0;836256;2309328;5.134239;25;11.235954;90.995682;4;3;50;15.273001;IPerf;602;166480863211489.94;2
602;5;3;1131428;30;5;32.0453;30.036413;14.666667;146549;7;0;0;1;91;0;0;0.0;0.0;31.0;-2.513026;-0.225;0.0;0.0;0;0.0;0;0.0;-37.424549;0;-38.892406;85.071182;2.0;18;79;3.782609;0;92;0;0;0;0;836256;2309328;5.134239;25;13.888889;90.995659;4;3;50;15.273001;IPerf;602;166480863212284.8;2
602;6;4;1343822;30;2;31.818686;29.872305;15.2;146133;6;0;0;1;90;0;0;0.0;0.0;31.0;-2.521029;-0.219;0.0;0.0;0;0.0;0;0.0;-37.835438;0;-38.868019;85.259682;2.0;15;79;4.75;0;80;0;0;0;0;836256;2309328;5.134239;25;11.235954;90.996223;4;3;50;15.273001;IPerf;602;166480863213087.94;2
602;5;3;1481244;40;5;31.606466;29.817709;15.388889;131111;7;0;0;1;90;0;8479;0.0;0.0;31.0;-2.557032;-0.212;0.0;0.0;0;0.0;0;0.0;-36.574078;0;-38.874065;85.30822;2.0;18;104;3.30303;0;99;0;0;0;0;836256;2309328;5.134239;25;13.888889;90.996223;4;3;50;15.273001;IPerf;602;166480863214202.84;2
602;5;2;1855200;59;8;32.188084;30.475264;14.909091;160266;9;0;0;1;90;0;0;0.0;0.0;31.0;-2.650036;-0.203;0.0;0.0;0;0.0;0;0.0;-36.471703;0;-38.871109;84.653618;2.0;22;142;2.79878;0;164;0;0;0;0;836256;2309328;5.134239;25;13.888889;90.996979;4;3;50;15.273001;IPerf;602;166480863215065.0;2
602;4;0;964888;63;3;32.973972;30.4044;16.307692;144800;5;0;0;1;90;0;2841;0.0;0.0;31.0;-2.587041;-0.198;0.0;0.0;0;0.0;0;0.0;-38.662422;0;-38.855793;84.739807;2.0;13;156;0.0;0;168;0;0;0;0;836256;2309328;5.134239;25;14.044943;90.997742;4;3;50;15.273001;IPerf;602;166480863215853.34;2
602;4;0;1089511;65;5;32.396446;30.154881;14.375;103466;6;0;0;1;90;0;0;0.0;0.0;31.0;-2.522046;-0.192;0.0;0.0;0;0.0;0;0.0;-36.704353;0;-38.837444;85.007683;2.0;16;149;0.420513;0;195;0;0;0;0;836256;2309328;5.134239;25;11.111111;90.998505;4;3;50;15.273001;IPerf;602;166480863216639.28;2
602;5;1;1222400;52;2;32.864395;29.609497;16.307692;144800;5;0;0;1;90;0;5744;0.0;0.0;31.0;-2.508049;-0.187;0.0;0.0;0;0.0;0;0.0;-38.644405;0;-38.806763;85.58374;2.0;13;133;1.96748;0;123;0;0;0;0;836256;2309328;5.134239;25;16.666666;90.998505;4;3;50;15.273001;IPerf;602;166480863217455.8;2
602;6;4;1540533;39;7;32.205685;30.028143;14.458333;155911;10;0;0;1;90;0;3009;0.0;0.0;31.0;-2.602053;-0.177;0.0;0.0;0;0.0;0;0.0;-35.931812;0;-38.749882;85.221985;2.0;24;92;4.147287;0;129;0;0;0;0;836256;2309328;5.134239;25;14.044943;90.998505;4;3;50;15.273001;IPerf;602;166480863218367.5;2
