mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
691;7;14;2860266;19;2;32.26759;27.230713;12.642858;106666;12;0;0;1;90;0;345608;0.0;0.0;40.0;0.188144;1.191074;0.0;0.0;0;0.0;0;0.0;-54.918316;0;-59.657684;67.111595;2.0;28;38;14.653061;0;49;0;0;0;0;836256;2309328;5.134239;25;16.666666;91.178123;4;3;50;18.229001;IPerf;691;166480987561320.03;1
691;7;14;3369066;22;2;31.89843;27.803478;14.0;220444;13;0;0;1;90;0;348183;0.0;0.0;40.0;0.172144;1.204075;0.0;0.0;0;0.0;0;0.0;-56.837852;0;-59.684624;66.511902;2.0;35;58;14.828125;0;64;0;0;0;0;836256;2309328;5.134239;25;19.66292;91.178299;4;3;50;18.229001;IPerf;691;166480987562298.2;1
691;7;14;3008800;20;1;31.003443;29.49337;14.153846;153244;14;0;0;1;90;0;338736;0.0;0.0;40.0;0.173144;1.218076;0.0;0.0;0;0.0;0;0.0;-55.662518;0;-59.713985;64.792641;2.0;39;48;14.58;0;50;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.168175;4;3;50;18.229001;IPerf;691;166480987563156.5;1
689;8;14;3268000;21;1;39.134041;30.265987;17.1875;308888;13;0;0;1;90;0;374326;0.0;0.0;31.0;-0.026015;4.481858;0.0;0.0;0;0.0;0;0.0;-31.54495;0;-34.419857;89.314163;2.0;32;56;14.918367;0;49;0;0;0;0;836256;2309328;5.134239;25;19.444445;91.176086;4;3;50;18.229001;IPerf;689;166480987564029.0;3
691;7;14;3330666;22;3;31.809702;27.454325;16.464285;183822;10;0;0;1;90;0;346508;0.0;0.0;40.0;0.138144;1.228076;0.0;0.0;0;0.0;0;0.0;-57.698269;0;-59.723263;66.822411;2.0;28;51;14.727273;0;66;0;0;0;0;836256;2309328;5.134239;25;19.444445;91.176086;4;3;50;18.229001;IPerf;691;166480987564878.38;3
689;7;14;2699466;19;0;38.156017;29.679987;15.25;130400;9;0;0;1;90;0;369602;0.0;0.0;31.0;-0.007015;4.490857;0.0;0.0;0;0.0;0;0.0;-29.033964;0;-34.42466;89.895355;2.0;24;55;14.090909;0;44;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.18264;4;3;50;18.229001;IPerf;689;166480987565728.53;3
691;7;14;2516800;17;2;29.380995;28.685482;15.058824;123111;7;0;0;1;90;0;346598;0.0;0.0;40.0;0.117144;1.235076;0.0;0.0;0;0.0;0;0.0;-56.708878;0;-59.683102;65.631416;2.0;17;49;14.563637;0;55;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.18264;4;3;50;18.229001;IPerf;691;166480987566586.2;3
689;8;16;3221866;20;3;37.307545;28.800312;13.531915;227822;20;0;225;1;90;0;371352;0.0;0.0;31.0;-0.044015;4.510856;0.0;0.0;0;0.0;0;0.0;-27.976183;0;-34.474522;90.725166;2.0;47;44;16.555553;0;54;0;0;0;0;836256;2309328;5.134239;25;19.66292;91.187576;4;3;50;18.229001;IPerf;689;166480987567463.72;3
691;7;14;2784000;19;2;31.825909;28.407124;15.052631;108355;7;0;0;1;90;0;349960;0.0;0.0;40.0;0.098144;1.241077;0.0;0.0;0;0.0;0;0.0;-56.078369;0;-59.643238;65.949638;2.0;19;40;14.818182;0;55;0;0;0;0;836256;2309328;5.134239;25;19.66292;91.187576;4;3;50;18.229001;IPerf;691;166480987568313.47;3
689;7;14;2926133;20;0;37.055462;29.41329;14.25;183644;14;0;0;1;90;0;379949;0.0;0.0;31.0;-0.024015;4.524855;0.0;0.0;0;0.0;0;0.0;-28.702087;0;-34.574131;90.012589;2.0;40;61;14.347826;0;46;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.176872;4;3;50;18.229001;IPerf;689;166480987569167.66;3
691;7;14;3368355;23;4;31.800159;28.730003;12.7;112888;8;0;0;1;90;0;325976;0.0;0.0;40.0;0.045144;1.249077;0.0;0.0;0;0.0;0;0.0;-55.10067;0;-59.583897;65.686104;2.0;20;59;14.761194;0;67;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.176872;4;3;50;18.229001;IPerf;691;166480987570032.78;3
689;8;15;3860888;26;0;37.697197;29.591448;14.142858;239022;14;0;0;1;90;0;380729;0.0;0.0;31.0;0.001985;4.538854;0.0;0.0;0;0.0;0;0.0;-29.515587;0;-34.467445;89.941109;2.0;35;61;15.939394;0;66;0;0;0;0;836256;2309328;5.134239;25;16.666666;91.178963;4;3;50;18.229001;IPerf;689;166480987571120.78;3
691;7;14;2756977;20;1;31.505669;29.506681;15.03125;152533;12;0;0;1;90;0;344682;0.0;0.0;40.0;0.046144;1.261078;0.0;0.0;0;0.0;0;0.0;-55.974648;0;-59.65971;64.833603;2.0;32;42;14.612244;0;49;0;0;0;0;836256;2309328;5.134239;25;16.666666;91.178963;4;3;50;18.229001;IPerf;691;166480987571980.3;3
689;7;17;2468800;13;1;37.529045;26.528095;15.242424;167733;13;0;0;1;90;0;381521;0.0;0.0;31.0;-0.004015;4.551853;0.0;0.0;0;0.0;0;0.0;-28.146568;0;-34.25687;93.215034;2.0;33;43;17.594597;0;37;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.182175;4;3;50;18.229001;IPerf;689;166480987572845.78;3
691;7;14;2783288;19;1;30.738428;29.665155;17.299999;125155;8;0;248;1;90;0;318957;0.0;0.0;40.0;0.046144;1.268078;0.0;0.0;0;0.0;0;0.0;-56.556316;0;-59.622608;64.712242;2.0;20;39;14.759259;0;54;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.182175;4;3;50;18.229001;IPerf;691;166480987573698.28;3
689;8;16;3497333;22;1;37.983013;27.271288;15.21875;210577;13;0;0;1;90;0;376874;0.0;0.0;31.0;-0.001015;4.564852;0.0;0.0;0;0.0;0;0.0;-29.266989;0;-34.331799;92.396919;2.0;32;66;16.017544;0;57;0;0;0;0;836256;2309328;5.134239;25;19.66292;91.189613;4;3;50;18.229001;IPerf;689;166480987574566.62;3
691;7;14;3504800;23;0;29.178007;29.115864;14.736842;157600;7;0;0;1;90;0;338545;0.0;0.0;40.0;0.069144;1.275078;0.0;0.0;0;0.0;0;0.0;-57.332836;0;-59.646534;65.237602;2.0;19;49;14.736842;0;57;0;0;0;0;836256;2309328;5.134239;25;19.66292;91.189613;4;3;50;18.229001;IPerf;691;166480987575406.75;3
689;8;15;2822933;18;2;37.672398;29.281883;13.791667;137777;11;0;0;1;90;0;373780;0.0;0.0;31.0;-0.021015;4.575851;0.0;0.0;0;0.0;0;0.0;-28.962402;0;-34.612747;90.105377;2.0;24;57;15.423077;0;52;0;0;0;0;836256;2309328;5.134239;25;16.666666;91.191116;4;3;50;18.229001;IPerf;689;166480987576259.97;3
691;7;14;3385600;23;0;30.574291;28.560522;17.0;143377;9;0;0;1;90;0;328153;0.0;0.0;40.0;0.092144;1.283079;0.0;0.0;0;0.0;0;0.0;-56.636818;0;-59.695892;65.743584;2.0;22;50;14.702129;0;47;0;0;0;0;836256;2309328;5.134239;25;16.666666;91.191116;4;3;50;18.229001;IPerf;691;166480987577094.5;3
689;7;14;2397688;18;0;38.281162;29.077364;15.2;216177;14;0;248;1;90;0;375470;0.0;0.0;31.0;-0.003015;4.58985;0.0;0.0;0;0.0;0;0.0;-29.380678;0;-34.402599;90.520042;2.0;35;51;14.0;0;44;0;0;0;0;836256;2309328;5.134239;25;16.853931;91.180405;4;3;50;18.229001;IPerf;689;166480987577937.38;3
