mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
464;8;18;3936000;22;1;38.242592;30.140612;15.756757;238133;15;0;0;1;90;0;280526;0.0;0.0;31.0;0.003002;2.585995;0.0;0.0;0;0.0;0;0.0;-28.634405;0;-34.020058;89.839325;2.0;37;58;18.0;0;59;0;0;0;0;836256;2309328;5.134239;25;16.666666;64.0103;4;3;50;19.581001;IPerf;464;166479932578254.28;3
464;8;18;4113866;21;1;38.33894;27.26169;15.846154;213600;11;0;256;1;90;0;271805;0.0;0.0;31.0;0.005002;2.596994;0.0;0.0;0;0.0;0;0.0;-30.25355;0;-33.889725;92.848579;2.0;26;60;18.771931;0;57;0;0;0;0;836256;2309328;5.134239;25;19.444445;64.019051;4;3;50;19.581001;IPerf;464;166479932580133.38;3
464;8;16;3672266;22;2;38.261715;31.936893;16.692308;220088;10;0;0;1;90;0;268752;0.0;0.0;31.0;-0.010998;2.606993;0.0;0.0;0;0.0;0;0.0;-30.513365;0;-34.126984;87.936119;2.0;26;68;16.65625;0;64;0;0;0;0;836256;2309328;5.134239;25;19.66292;64.009415;4;3;50;18.350001;IPerf;464;166479932581723.84;3
464;8;17;4207200;23;1;38.535805;28.374279;14.051282;264266;15;0;246;1;90;0;265144;0.0;0.0;31.0;-0.006998;2.621992;0.0;0.0;0;0.0;0;0.0;-28.96557;0;-33.946712;91.679016;2.0;39;57;17.838707;0;62;0;0;0;0;836256;2309328;5.134239;25;16.666666;64.012054;4;3;50;18.350001;IPerf;464;166479932583112.3;3
464;8;17;5238400;29;0;39.077217;32.651615;15.05;229777;15;0;0;1;90;0;265003;0.0;0.0;31.0;0.022002;2.636991;0.0;0.0;0;0.0;0;0.0;-29.113794;0;-34.136826;87.211571;2.0;40;67;17.957747;0;71;0;0;0;0;836256;2309328;5.134239;25;19.444445;64.0187;4;3;50;18.350001;IPerf;464;166479932584564.7;3
464;8;19;3785955;20;1;38.286877;27.57781;15.555555;320177;14;0;0;1;90;0;276806;0.0;0.0;31.0;0.023002;2.65099;0.0;0.0;0;0.0;0;0.0;-30.068604;0;-33.927685;92.494514;2.0;36;54;19.354166;0;48;0;0;0;0;836256;2309328;5.134239;25;16.853931;64.024818;4;3;50;18.350001;IPerf;464;166479932586218.66;3
464;7;18;3690400;18;0;37.737316;32.401218;14.864865;161688;15;0;0;1;90;0;286496;0.0;0.0;31.0;0.041002;2.665989;0.0;0.0;0;0.0;0;0.0;-28.48514;0;-34.182709;87.416069;2.0;37;49;18.552631;0;38;0;0;0;0;836256;2309328;5.134239;25;19.444445;64.025558;4;3;50;18.350001;IPerf;464;166479932587926.8;1
466;8;14;3418755;23;3;28.87883;27.2237;15.608696;132266;10;0;0;1;90;0;381267;0.0;0.0;40.0;-0.880021;0.490993;0.0;0.0;0;0.0;0;0.0;-57.241348;0;-60.951912;65.824394;2.0;23;58;14.861539;0;65;0;0;0;0;836256;2309328;5.134239;25;19.444445;64.025558;4;3;50;18.350001;IPerf;466;166479932589502.75;1
464;8;18;4210666;22;1;36.927269;31.746668;14.645162;166311;12;0;0;1;90;0;285275;0.0;0.0;31.0;0.044002;2.677988;0.0;0.0;0;0.0;0;0.0;-28.288822;0;-34.103249;88.150078;2.0;31;54;18.160715;0;56;0;0;0;0;836256;2309328;5.134239;25;19.66292;64.013664;4;3;50;18.350001;IPerf;464;166479932591062.84;1
466;8;14;3568000;23;0;28.316267;27.117329;16.133333;224711;17;0;0;1;90;0;381828;0.0;0.0;40.0;-0.857021;0.507992;0.0;0.0;0;0.0;0;0.0;-57.225433;0;-60.96553;65.917145;2.0;45;49;14.833333;0;60;0;0;0;0;836256;2309328;5.134239;25;19.66292;64.013664;4;3;50;18.350001;IPerf;466;166479932592631.0;1
464;9;19;4347466;21;3;39.080479;29.961506;15.666667;149511;6;0;0;1;90;0;282415;0.0;0.0;31.0;0.008002;2.683988;0.0;0.0;0;0.0;0;0.0;-30.571983;0;-34.047035;89.991463;2.0;18;63;19.435484;0;62;0;0;0;0;836256;2309328;5.134239;25;16.666666;64.018402;4;3;50;18.350001;IPerf;464;166479932594020.1;1
466;8;14;4098133;27;0;26.889481;30.101118;16.095238;360977;17;0;0;1;90;0;362841;0.0;0.0;40.0;-0.830021;0.524992;0.0;0.0;0;0.0;0;0.0;-58.64846;0;-60.965332;62.933548;2.0;42;50;14.727273;0;66;0;0;0;0;836256;2309328;5.134239;25;16.666666;64.018402;4;3;50;18.350001;IPerf;466;166479932596012.66;1
464;8;18;4063733;21;2;37.247593;29.305956;13.815789;174311;15;0;0;1;90;0;280008;0.0;0.0;31.0;-0.008998;2.698987;0.0;0.0;0;0.0;0;0.0;-28.019974;0;-34.005535;90.688515;2.0;38;52;18.50909;0;55;0;0;0;0;836256;2309328;5.134239;25;19.66292;64.02182;4;3;50;18.350001;IPerf;464;166479932597524.66;1
