mac_rnti;mac_dl_cqi;mac_dl_mcs;mac_dl_brate;mac_dl_ok;mac_dl_nok;phy_ul_pusch_sinr;phy_ul_pucch_sinr;phy_ul_mcs;mac_ul_brate;mac_ul_ok;mac_ul_nok;mac_ul_bsr;mac_pci;mac_nof_tti;mac_cc_idx;mac_dl_buffer;mac_dl_ri;mac_dl_pmi;mac_phr;mac_dl_cqi_offset;mac_ul_snr_offset;mac_ul_rssi;mac_fec_iters;mac_dl_mcs_samples;mac_ul_mcs;mac_ul_mcs_samples;phy_ul_n;phy_ul_pusch_rssi;phy_ul_pusch_tpc;phy_ul_pucch_rssi;phy_ul_pucch_ni;phy_ul_turbo_iters;phy_ul_n_samples;phy_ul_n_samples_pucch;phy_dl_mcs;phy_dl_pucch_tpc;phy_dl_n_samples;rf_o;rf_u;rf_l;rf_error;sys_process_realmem_kB;sys_process_virtualmem_kB;sys_process_realmem;sys_thread_count;sys_process_cpu_usage;sys_system_mem;sys_cpu_count;n_UEs;n_PRBs;power_pdu;label;ue_ident;timestamp;id_ue
484;8;18;3287733;17;2;37.867348;28.972637;15.552631;230488;15;0;0;1;90;0;379646;0.0;0.0;31.0;0.047938;4.085881;0.0;0.0;0;0.0;0;0.0;-29.044674;0;-33.949516;91.07785;2.0;38;57;18.833334;0;48;0;0;0;0;836256;2309328;5.134239;25;16.853931;74.266304;4;3;50;19.682001;IPerf;484;166480012461501.22;3
484;8;18;3244800;18;2;38.2673;27.098255;15.341463;222044;16;0;0;1;90;0;381912;0.0;0.0;31.0;0.027938;4.10188;0.0;0.0;0;0.0;0;0.0;-28.671875;0;-33.834633;93.067108;2.0;41;52;18.0;0;41;0;0;0;0;836256;2309328;5.134239;25;22.222221;74.268806;4;3;50;19.682001;IPerf;484;166480012462579.84;3
484;8;18;3015733;15;3;37.713989;30.404589;14.0;158488;17;0;0;1;90;0;380520;0.0;0.0;31.0;-0.014062;4.118878;0.0;0.0;0;0.0;0;0.0;-27.732862;0;-34.07959;89.515823;2.0;43;39;18.540001;0;50;0;0;0;0;836256;2309328;5.134239;25;16.853931;74.275681;4;3;50;19.682001;IPerf;484;166480012463492.34;3
484;7;16;3953066;25;1;37.778046;29.43952;14.6875;189422;13;0;0;1;90;0;380403;0.0;0.0;31.0;-0.008062;4.131877;0.0;0.0;0;0.0;0;0.0;-28.641569;0;-34.000912;90.55957;2.0;32;76;16.266666;0;60;0;0;0;0;836256;2309328;5.134239;25;16.666666;74.280823;4;3;50;19.682001;IPerf;484;166480012464389.22;3
484;8;15;2688266;17;1;38.769855;31.380938;16.076923;211200;10;0;0;1;90;0;384720;0.0;0.0;31.0;-0.010062;4.141877;0.0;0.0;0;0.0;0;0.0;-30.394234;0;-34.070461;88.548607;2.0;26;41;15.826087;0;46;0;0;0;0;836256;2309328;5.134239;25;19.66292;74.283722;4;3;50;19.682001;IPerf;484;166480012465307.94;1
487;8;14;2352000;15;7;2.525214;27.600649;0.0;369422;28;0;0;1;90;0;268200;0.0;0.0;40.0;-0.766014;0.606993;0.0;0.0;0;0.0;0;0.0;-64.229736;0;-60.984612;65.414742;2.0;72;36;14.888889;0;54;0;0;0;0;836256;2309328;5.134239;25;19.66292;74.283722;4;3;50;19.682001;IPerf;487;166480012466239.4;1
484;8;15;3183466;20;0;37.821754;28.571865;14.866667;161155;13;0;0;1;90;0;379069;0.0;0.0;31.0;0.009938;4.154876;0.0;0.0;0;0.0;0;0.0;-28.420338;0;-33.891495;91.536644;2.0;30;60;15.982759;0;58;0;0;0;0;836256;2309328;5.134239;25;16.666666;74.272957;4;3;50;19.682001;IPerf;484;166480012467164.84;1
487;8;14;2597866;17;6;3.598446;26.891275;0.416667;275466;19;0;0;1;90;0;275517;0.0;0.0;40.0;-0.863014;0.625992;0.0;0.0;0;0.0;0;0.0;-63.360977;0;-60.991554;66.117172;2.0;48;45;14.869565;0;46;0;0;0;0;836256;2309328;5.134239;25;16.666666;74.272957;4;3;50;19.682001;IPerf;487;166480012468098.72;1
484;9;19;4877866;24;3;38.180817;30.992495;14.5;129688;7;0;0;1;90;0;379675;0.0;0.0;31.0;-0.023062;4.161875;0.0;0.0;0;0.0;0;0.0;-29.75609;0;-34.076744;88.930756;2.0;16;74;19.203125;0;64;0;0;0;0;836256;2309328;5.134239;25;19.66292;74.275681;4;3;50;19.682001;IPerf;484;166480012469016.28;1
487;8;14;3076533;20;3;2.694422;28.063843;0.130435;247644;18;0;0;1;90;0;269359;0.0;0.0;40.0;-0.900014;0.643992;0.0;0.0;0;0.0;0;0.0;-64.473869;0;-61.000332;64.935822;2.0;46;50;14.661017;0;59;0;0;0;0;836256;2309328;5.134239;25;19.66292;74.275681;4;3;50;19.682001;IPerf;487;166480012469948.12;1
484;7;14;2919733;19;0;36.895016;29.022545;14.555555;150488;12;0;0;1;90;0;386166;0.0;0.0;31.0;-0.004062;4.173874;0.0;0.0;0;0.0;0;0.0;-28.330086;0;-33.970379;91.007072;2.0;27;57;14.730769;0;52;0;0;0;0;836256;2309328;5.134239;25;16.666666;74.284454;4;3;50;19.682001;IPerf;484;166480012470853.94;1
487;8;14;3991733;26;0;17.52096;27.519051;6.291667;119733;10;0;0;1;90;0;269647;0.0;0.0;40.0;-0.874015;0.653992;0.0;0.0;0;0.0;0;0.0;-61.58493;0;-61.00695;65.473999;2.0;24;59;14.816667;0;60;0;0;0;0;836256;2309328;5.134239;25;16.666666;74.284454;4;3;50;19.682001;IPerf;487;166480012472022.1;1
